,0,1,2,3,4,5,Epochs
0,0.27806836,-0.3325138,0.21596412,-0.1564196,-0.40861496,0.24089314,0
1,0.26367465,-0.33966255,0.24254687,-0.18360896,-0.42569178,0.17924124,0
2,0.2708885,-0.27185857,0.22585596,-0.14405183,-0.35771072,0.31065986,0
3,0.2679887,-0.29552656,0.21326686,-0.13369113,-0.3906036,0.3119741,0
4,0.27274704,-0.29981828,0.21203552,-0.14882395,-0.38206208,0.2614014,0
5,0.26783997,-0.31411397,0.22029953,-0.1426493,-0.3837278,0.28056866,0
6,0.25782415,-0.28872463,0.19628137,-0.12636444,-0.36620194,0.29197034,0
7,0.25788727,-0.28696233,0.2421585,-0.14011748,-0.37862223,0.3045655,0
8,0.2282594,-0.2795077,0.25837687,-0.18533114,-0.36353445,0.23296699,0
9,0.25720415,-0.30753946,0.23035312,-0.15641642,-0.39037645,0.26294866,0
10,0.27274704,-0.29981828,0.21203552,-0.14882395,-0.38206208,0.2614014,0
11,0.26164472,-0.28766602,0.24631003,-0.141026,-0.36172536,0.2846134,0
12,0.27352172,-0.30647942,0.23845817,-0.15005085,-0.37388623,0.2642888,0
13,0.25788727,-0.28696233,0.2421585,-0.14011748,-0.37862223,0.3045655,0
14,0.2442024,-0.30891442,0.23914286,-0.14331417,-0.40476075,0.2954965,0
15,0.24992812,-0.29748788,0.24865262,-0.10035916,-0.34568718,0.31139898,0
16,0.27522984,-0.31033826,0.20333698,-0.1264441,-0.3722077,0.27074853,0
17,0.23726675,-0.2942617,0.25042325,-0.16982944,-0.38701302,0.2224099,0
18,0.2599914,-0.2885685,0.23337606,-0.15127842,-0.36163703,0.28131184,0
19,0.2708885,-0.27185857,0.22585596,-0.14405183,-0.35771072,0.31065986,0
20,0.27295554,-0.29999158,0.19986169,-0.15150249,-0.37785184,0.29698002,0
21,0.24467798,-0.28431928,0.21823473,-0.16723311,-0.33515742,0.29833335,0
22,0.27295554,-0.29999158,0.19986169,-0.15150249,-0.37785184,0.29698002,0
23,0.26248533,-0.27250016,0.25121617,-0.10456823,-0.38231933,0.3625105,0
24,0.25060225,-0.2801054,0.19963038,-0.18095253,-0.32840806,0.32190838,0
25,0.27274704,-0.29981828,0.21203552,-0.14882395,-0.38206208,0.2614014,0
26,0.24531752,-0.34339502,0.24458285,-0.16118424,-0.43661982,0.2541077,0
27,0.26869977,-0.28331798,0.25264704,-0.13189524,-0.36998004,0.30485812,0
28,0.2681273,-0.30388743,0.22479303,-0.14886653,-0.3804798,0.2828511,0
