,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Epochs
0,0.31172693,0.06707528,0.1515293,0.15481679,0.13919967,-0.082910106,-0.03986491,0.12443629,-0.08009626,0.043718643,-0.016476411,-0.23102656,0.089882836,0.0056385137,0.12240541,0.20025098,0
1,0.31016004,0.06419931,0.081272595,0.23377775,0.10523602,-0.09508329,-0.045549273,0.12358859,-0.07230715,0.070078015,0.051918805,-0.21102066,0.10078526,0.015854709,0.12579358,0.23446783,0
2,0.3298657,0.00059487484,0.09559381,0.22740409,0.14979012,-0.100147925,-0.06239244,0.14785549,-0.086529896,0.081117004,0.021661006,-0.20195039,0.16294765,-0.039169483,0.16934316,0.177086,0
3,0.35799587,0.052295886,0.068581186,0.24084269,0.13025662,-0.080194004,-0.086054906,0.19185618,-0.07120658,0.02837579,0.051698655,-0.20173311,0.105004646,-0.048398398,0.14225172,0.13974187,0
4,0.41622993,0.055253826,0.1678687,0.098871656,0.14130384,-0.10476663,-0.06700977,0.18633409,0.062420517,-0.0576379,-0.1469429,-0.24416451,0.08609015,0.01634194,0.19079322,0.28188187,0
5,0.36686778,-0.009524722,0.17344336,0.15002249,0.24929635,-0.121476814,-0.04520065,0.09401562,-0.018498529,0.080766246,-0.07536511,-0.20326065,0.14115068,-0.0072713234,0.14475967,0.15730426,0
6,0.33674103,-0.030929316,0.20848095,0.16445014,0.19848703,-0.14379749,0.022677705,0.067730844,0.01846657,0.067166254,-0.09965198,-0.23999104,0.079598166,0.025757378,0.19119221,0.21597263,0
7,0.39142925,0.0038571376,0.011166051,0.24766757,0.14509574,-0.044682927,-0.102240935,0.15802571,-0.034222476,0.024300143,0.03143265,-0.2150348,0.14115185,-0.08943865,0.20789291,0.15110171,0
8,0.3691126,-0.0004864335,0.11601856,0.18173505,0.23118815,-0.054753304,0.007748455,0.11147532,-0.10375744,0.08772502,-0.025019612,-0.047519855,0.20780808,-0.08379663,0.20935822,0.24250457,0
9,0.30312073,0.067194834,0.18354753,0.27273822,0.28006688,-0.005907759,0.03015554,0.055228807,-0.13333626,0.035745844,-0.00038836896,-0.08855782,0.14387946,0.0251683,0.16815192,0.23305766,0
10,0.32672447,0.03373637,0.2231871,0.13408354,0.21502846,-0.13521065,-0.023007326,0.18314147,0.029413871,0.004109472,-0.080705136,-0.22568302,0.17804524,0.098626144,0.08299432,0.2367104,0
11,0.23743987,0.17208485,0.21226197,0.19120178,0.20347118,0.0034599453,-0.09410487,0.1493792,0.10721871,0.09105162,0.1007735,-0.16813335,0.16101179,0.06863095,0.14965384,0.1934725,0
12,0.39455527,0.11374668,0.034526147,0.21975157,0.12086661,-0.006119415,-0.052448533,0.22729526,-0.044087976,0.023727506,0.1532109,-0.18071303,0.16443042,-0.0575051,0.12635668,0.13325983,0
13,0.34793758,0.066189244,0.09876715,0.25179413,0.105873734,-0.00043046474,-0.05514873,0.21545424,-0.07316508,0.046301126,0.00884261,-0.16120869,0.11092218,-0.016431972,0.17788997,0.199262,0
14,0.19621125,0.028120637,0.17799275,0.11505531,0.20566982,-0.16831784,-0.004744388,0.17669402,-0.11627725,0.24296689,-0.0754112,-0.028443262,0.110605404,-0.10341364,0.053634513,0.20098686,0
15,0.31322512,-0.06856591,0.09808548,0.03672585,0.24859071,-0.14472575,0.0084858835,0.1421949,-0.18105243,0.2242868,-0.1458011,-0.11066488,0.09671822,-0.08043375,0.09953707,0.19959961,0
16,0.31515086,-0.11919093,0.20134763,0.117554165,0.26421833,-0.14921695,0.040689968,-0.04414937,-0.07739391,0.16380847,-0.119452015,-0.23734266,0.059313066,-0.027663276,0.17432362,0.13689558,0
17,0.41494226,0.16759165,0.16517384,0.27219126,0.07670428,-0.060558856,-0.08429634,0.14176318,-0.079451166,-0.03244184,-0.013003785,-0.2450903,0.13712955,-0.059146106,0.14771152,0.23419221,0
18,0.34897256,-0.040724337,0.10536636,0.050674632,0.18852077,-0.16716821,0.09390873,0.06879848,-0.20985915,0.16633959,-0.14681795,-0.07649434,0.11409907,-0.057714164,0.096339494,0.23903209,0
19,0.29379496,0.14639953,0.09305547,0.2538943,0.12965609,-0.016594172,-0.011468127,0.22509743,-0.17540178,0.06994675,-0.001173757,-0.12817797,0.15779391,0.042169347,0.17459494,0.21054958,0
20,0.22119202,-0.04482501,0.17657185,0.1274051,0.21104358,-0.1528966,0.0059902184,0.03231252,-0.22058931,0.1522334,-0.06282726,-0.03558576,0.048037678,-0.10689013,0.16648847,0.21694581,0
21,0.35294834,0.14521505,0.0477973,0.28276122,0.13792074,-0.09900999,-0.17258462,0.15041904,-0.12789895,-0.027109012,0.074771345,-0.24432375,0.11523284,-0.012491684,0.24987105,0.21147573,0
22,0.34245497,0.018754262,0.03223145,0.09207535,0.31425542,-0.093774974,0.013830595,0.19399732,-0.18745506,0.12539615,-0.19419661,-0.045811914,0.14834923,-0.021591228,0.14151134,0.21573363,0
23,0.20575726,0.028856507,0.10333017,0.16886377,0.22230689,-0.093090154,-0.037304003,0.107010536,-0.10700032,0.20534414,-0.08846559,-0.11076002,0.1926471,-0.06414706,0.11985241,0.3209143,0
24,0.21727669,0.21576566,0.030544095,0.18608424,0.18351734,-0.18579264,-0.1291976,0.11878948,-0.026919186,0.24133533,-0.10040376,-0.21389377,0.15697642,0.024890035,0.13408208,0.18202813,0
25,0.1836183,0.18203962,0.13730872,0.1826407,0.17137487,-0.19486226,-0.16292056,0.08106058,0.0032868609,0.22992355,-0.047005862,-0.32006288,0.13867234,0.011258714,0.2030806,0.18477458,0
26,0.25036812,0.02397566,0.042817295,0.053973883,0.2675085,0.033596896,0.012225501,0.21570125,-0.016626794,0.12308278,-0.1717265,-0.13734849,-0.022364914,-0.0027106442,0.10564993,0.27015448,0
27,0.21884897,0.113607556,0.10540147,0.24224856,0.18387647,-0.015052244,-0.07383069,0.06393856,-0.07339898,0.19380684,-0.011481613,-0.11923592,0.14122675,-0.04135532,0.12629004,0.3255573,0
28,0.36926177,0.053669438,0.12056376,0.114557974,0.1372744,0.005418487,0.020163491,0.15832743,-0.07834408,0.18921298,-0.107933775,-0.13336158,0.08267627,0.009982444,0.16069724,0.16911075,0
29,0.21319151,-0.013375819,0.097561255,0.09728343,0.2556905,-0.06821443,-0.014171205,0.15181252,-0.034022868,0.17917691,-0.08808558,-0.16478193,0.0968669,-0.064969696,0.14593735,0.31319252,0
30,0.34850308,-0.029837742,0.056377262,0.13638929,0.18265334,-0.13416,0.0404177,0.146997,-0.12649286,0.1908834,-0.101908825,-0.095611155,0.12929799,-0.08119736,0.17353821,0.21905956,0
