NodeID,Group,Dim_1,Dim_2,Epochs
0,4.0,-13.267634391784668,-38.775394439697266,0
1,4.0,-18.48918914794922,-52.10138702392578,0
2,4.0,-40.646751403808594,-18.840036392211914,0
3,4.0,4.896052837371826,-61.63296127319336,0
4,4.0,-28.763940811157227,-25.08319854736328,0
5,4.0,-18.027101516723633,-26.554616928100586,0
6,4.0,-1.66930091381073,-64.68414306640625,0
7,4.0,-13.649590492248535,6.421304225921631,0
8,4.0,-17.265771865844727,-23.49139404296875,0
9,4.0,6.739703178405762,-24.387388229370117,0
10,4.0,-25.673017501831055,-25.71692657470703,0
11,4.0,-34.158451080322266,-10.16431999206543,0
12,4.0,15.884105682373047,-19.451967239379883,0
13,4.0,-13.290003776550293,7.4712677001953125,0
14,4.0,-25.421489715576172,-55.27754592895508,0
15,4.0,-5.792863368988037,4.298764705657959,0
16,4.0,-12.469049453735352,-62.08831024169922,0
17,4.0,-17.65386199951172,-23.82671356201172,0
18,4.0,-44.836021423339844,-16.43157196044922,0
19,4.0,-40.500118255615234,-16.31004524230957,0
20,4.0,-0.00827998947352171,-34.497833251953125,0
21,4.0,-35.69105529785156,3.6834769248962402,0
22,4.0,-2.2775797843933105,-35.800270080566406,0
23,4.0,-24.78335952758789,9.480301856994629,0
24,4.0,-33.0188102722168,2.9297494888305664,0
25,4.0,-28.616947174072266,-26.37635612487793,0
26,4.0,-22.324323654174805,-51.7847785949707,0
27,4.0,-6.6914215087890625,-60.77827835083008,0
28,4.0,-16.3366641998291,-63.18960952758789,0
29,4.0,-29.604839324951172,5.156844139099121,0
30,4.0,-20.52814292907715,9.491219520568848,0
31,0.0,1.4233566522598267,-68.57457733154297,0
32,0.0,37.49094772338867,-31.34787368774414,0
33,0.0,-20.169567108154297,-41.61207580566406,0
34,0.0,-12.63263988494873,-51.93718719482422,0
35,0.0,11.186946868896484,-33.405738830566406,0
36,0.0,43.59999465942383,4.18289041519165,0
37,0.0,-29.13874053955078,38.30354690551758,0
38,0.0,-16.07234764099121,-63.75815200805664,0
39,0.0,8.353233337402344,-26.7244873046875,0
40,0.0,42.748924255371094,32.404361724853516,0
41,0.0,-26.518110275268555,23.90488052368164,0
42,0.0,8.317047119140625,-49.43008804321289,0
43,0.0,-26.941865921020508,-54.76283645629883,0
44,0.0,-15.886804580688477,14.107320785522461,0
45,0.0,-27.386329650878906,27.55811309814453,0
